question,sql
"What is episode 2 of garfield when episode 1 is ""the horror hostess (part 1)""?",SELECT Garfield Episode 2 FROM table WHERE Garfield Episode 1 = The Horror Hostess (Part 1)
Name the tourism receipts 2003 for tourism competitiveness 3.26,SELECT COUNT Tourism receipts (2003) (as % of exports) FROM table WHERE Tourism competitiveness (2011) (TTCI) = 3.26
Name the tourism receipts 2003 for colombia,SELECT Tourism receipts (2003) (as % of GDP) FROM table WHERE Country = Colombia
Name the total number of tourism receipts 2011 where tourism receipts 2003 13.5,SELECT COUNT Tourism receipts (2011) (US$ per capita) FROM table WHERE Tourism receipts (2003) (as % of GDP) = 13.5
When classic hits 102.1 cjcy is the branding who is the owner?,SELECT Owner FROM table WHERE Branding = Classic Hits 102.1 CJCY
When hot adult contemporary is the format what is the call sign?,SELECT Call sign FROM table WHERE Format = hot adult contemporary
When vista radio is the owner how many call signs are there?,SELECT COUNT Call sign FROM table WHERE Owner = Vista Radio
When fm 97.3 is the frequency how many formats are there?,SELECT COUNT Format FROM table WHERE Frequency = FM 97.3
When vista radio is the owner what is the frequency? ,SELECT Frequency FROM table WHERE Owner = Vista Radio
Name the team for 5 september 2008 for date of vacancy for 30 august 2008,SELECT Team FROM table WHERE Date of appointment = 5 September 2008 AND Date of vacancy = 30 August 2008
Name the date of vacancy for daniel uberti,SELECT Date of vacancy FROM table WHERE Outgoing manager = Daniel Uberti
Name the manner of departure for date of vacancy 25 august 2008,SELECT Manner of departure FROM table WHERE Date of vacancy = 25 August 2008
Name the date of vacancy for 29 december 2008 being date of appointment,SELECT Date of vacancy FROM table WHERE Date of appointment = 29 December 2008
When 1008/1009 is the production code how many directors are there?,SELECT COUNT Directed By FROM table WHERE Production code = 1008/1009
When arthur heinemann is the writer who is the director?,SELECT Directed By FROM table WHERE Written By = Arthur Heinemann
Name the running with for elizabeth falco,SELECT Running with (in team) FROM table WHERE Candidate = Elizabeth Falco
Name the officing running for for carol marsh,SELECT Office running for FROM table WHERE Candidate = Carol Marsh
Name the office running for for anthony mussara,SELECT Office running for FROM table WHERE Candidate = Anthony Mussara
"Name the votes given for michael russo, genevy dimitrion , manny ortega","SELECT Votes given FROM table WHERE Running with (in team) = Michael Russo, Genevy Dimitrion , Manny Ortega"
What was the loa when the corrected time was 2:12:36:23?,SELECT LOA (Metres) FROM table WHERE Corrected Time d:hh:mm:ss = 2:12:36:23
Qhat was the position of sail 6606?,SELECT Position FROM table WHERE Sail Number = 6606
On what yacht was the sail number aus70?,SELECT Yacht FROM table WHERE Sail Number = AUS70
What was the corrected time of sail number aus70?,SELECT Corrected Time d:hh:mm:ss FROM table WHERE Sail Number = AUS70
Who was the skipper for the vessel with a corrected time of 2:18:31:49?,SELECT Skipper FROM table WHERE Corrected Time d:hh:mm:ss = 2:18:31:49
Who was the skipper on a Nelson Marek 43?,SELECT Skipper FROM table WHERE Yacht Type = Nelson Marek 43
How many titles were released on 21 October 1992?,SELECT COUNT Rank FROM table WHERE Release Date = 21 October 1992
What rank is Super Mario Land 2: 6 Golden Coins?,SELECT MIN Rank FROM table WHERE Title = Super Mario Land 2: 6 Golden Coins
What platform sold 11.18 million units?,SELECT Platform FROM table WHERE Units sold (in Millions) = 11.18
What day did the platform sell 9.87 million units?,SELECT Release Date FROM table WHERE Units sold (in Millions) = 9.87
"If new entries this round is 65, what is the round?",SELECT COUNT Round FROM table WHERE New entries this round = 65
"If leagues entering this round is Süper Lig, what is the maximum amount of clubs remaining?",SELECT MAX Clubs remaining FROM table WHERE Leagues entering at this round = Süper Lig
"If the winners from the previous round is 8, what is the round?",SELECT Round FROM table WHERE Winners from previous round = 8
"If the round is the semi-finals, what are the new entries this round?",SELECT New entries this round FROM table WHERE Round = Semi-finals
How many losses for the team atl. colegiales?,SELECT MAX Losses FROM table WHERE Team = Atl. Colegiales
How many points when the score is 14?,SELECT MIN Points FROM table WHERE Scored = 14
How many draws are there when the score is 13?,SELECT MAX Draws FROM table WHERE Scored = 13
How many wins have conceded as 18?,SELECT MAX Wins FROM table WHERE Conceded = 18
How many draws occurred when 25 points were scored? ,SELECT COUNT Draws FROM table WHERE Scored = 25
What is the least number of poins for San Lorenzo? ,SELECT MIN Points FROM table WHERE Team = San Lorenzo
How many draws does 12 de Octubre  have? ,SELECT Draws FROM table WHERE Team = 12 de Octubre
What is Inaba's maximum score?,SELECT MAX Inaba FROM table
How many sets of marks does Tonioli get in week 3?,SELECT COUNT Tonioli FROM table WHERE Week # = 3
"When columbia, south carolina is the hometown what is the lowest age?","SELECT MIN Age FROM table WHERE Hometown = Columbia, South Carolina"
"When austin, texas is the hometown what is the lowest age?","SELECT MIN Age FROM table WHERE Hometown = Austin, Texas"
When stacy schneider is the candidate what are the results?,SELECT Result FROM table WHERE Candidate = Stacy Schneider
Which township is 35.766 sqmi?,SELECT Township FROM table WHERE Land ( sqmi ) = 35.766
What county is the township of Osborn in?,SELECT County FROM table WHERE Township = Osborn
What is the longitude with a latitude of 47.985154?,SELECT Longitude FROM table WHERE Latitude = 47.985154
How many square miles of water is in Ramsey County with a geo id larger than 3807159460.0?,SELECT Water (sqmi) FROM table WHERE County = Ramsey AND GEO ID > 3807159460.0
how many latitudes have 0.081 (sqmi) of water?,SELECT COUNT Latitude FROM table WHERE Water (sqmi) = 0.081
what is the lowest geo id?,SELECT MIN GEO ID FROM table
What is the geo ID for the township with 0.771 square miles of water?,SELECT MAX GEO ID FROM table WHERE Water (sqmi) = 0.771
What is the geo id for Logan county?,SELECT MAX GEO ID FROM table WHERE County = Logan
How big is the land in square miles of Grand Forks county?,SELECT Land ( sqmi ) FROM table WHERE County = Grand Forks
What is the geo id for Joliette?,SELECT MAX GEO ID FROM table WHERE Township = Joliette
What was the lattitude for the area with 4.243 square miles of water?,SELECT Latitude FROM table WHERE Water (sqmi) = 4.243
What township is 28.597 square miles of land?,SELECT Township FROM table WHERE Land ( sqmi ) = 28.597
Which township has a longitude of -98.741656?,SELECT Township FROM table WHERE Longitude = -98.741656
What is the land (sqmi) in lansing township?,SELECT Land ( sqmi ) FROM table WHERE Township = Lansing
What is the geo id when water is 0.457?,SELECT MIN GEO ID FROM table WHERE Water (sqmi) = 0.457
What is the geo id of the land at 35.999?,SELECT MAX GEO ID FROM table WHERE Land ( sqmi ) = 35.999
What is the land (sqmi) at geo id 3801947380?,SELECT Land ( sqmi ) FROM table WHERE GEO ID = 3801947380
What is the population associated with latitude 48.676125?,SELECT MAX Pop. (2010) FROM table WHERE Latitude = 48.676125
How many places associated with latitude 48.247662?,SELECT COUNT ANSI code FROM table WHERE Latitude = 48.247662
What longitudes associated with a water (sqmi) area of 0.068?,SELECT Longitude FROM table WHERE Water (sqmi) = 0.068
What is the smallest ansi code?,SELECT MIN ANSI code FROM table
What county is associated with ansi code 1759686?,SELECT County FROM table WHERE ANSI code = 1759686
What is the geo id for malcolm township?,SELECT COUNT GEO ID FROM table WHERE Township = Malcolm
What is the land area of Reed Township?,SELECT Land ( sqmi ) FROM table WHERE Township = Reed
What is the township at longitude -100.680772?,SELECT Township FROM table WHERE Longitude = -100.680772
What is the ANSI code of the township where the area is 35.737 square miles?,SELECT MIN ANSI code FROM table WHERE Land ( sqmi ) = 35.737
What is the GEO ID of the township with area of 32.532 square miles?,SELECT MAX GEO ID FROM table WHERE Land ( sqmi ) = 32.532
What township is 34.781 square miles?,SELECT Township FROM table WHERE Land ( sqmi ) = 34.781
What longitude is tatman township?,SELECT Longitude FROM table WHERE Township = Tatman
What is the land area (sqmi) for the township at longtidue 47.548602?,SELECT Land ( sqmi ) FROM table WHERE Latitude = 47.548602
How many ansi codes are there for longitude 46.415037?,SELECT COUNT ANSI code FROM table WHERE Latitude = 46.415037
What is the water area (sqmi) for the township at latitude 48.423224?,SELECT Water (sqmi) FROM table WHERE Latitude = 48.423224
How many ansi codes are there for latitude 48.142938?,SELECT COUNT ANSI code FROM table WHERE Latitude = 48.142938
Name the township for kidder,SELECT Township FROM table WHERE County = Kidder
Name the latitude for  3810536900,SELECT Latitude FROM table WHERE GEO ID = 3810536900
Name the latitude for 3809935740,SELECT Latitude FROM table WHERE GEO ID = 3809935740
Name the number of county for 90 population,SELECT COUNT County FROM table WHERE Pop. (2010) = 90
"When houdet ( fra ) w 6-2, 6-1 is the quarterfinals what is the final/bronze medal match?","SELECT Final/ Bronze medal match FROM table WHERE Quarterfinals = Houdet ( FRA ) W 6-2, 6-1"
When in round of 16 it was did not advance what was it in round of 32?,SELECT Round of 32 FROM table WHERE Round of 16 = Did not advance
"When scheffers ( ned ) l 3-6, 1-6 is the final/ bronze medal match what was the event?","SELECT Event FROM table WHERE Final/ Bronze medal match = Scheffers ( NED ) L 3-6, 1-6"
When mixed quad singles is the event what is the final/bronze medal match?,SELECT Final/ Bronze medal match FROM table WHERE Event = Mixed Quad Singles
When bas van erp was the athlete what was the quarterfinals?,SELECT Quarterfinals FROM table WHERE Athlete = Bas van Erp
What is the semifinal result for Dorrie Timmermans-Van Hall?,SELECT Semifinals FROM table WHERE Athlete = Dorrie Timmermans-Van Hall
What is the round of 16 result for Jiske Griffioen Esther Vergeer?,SELECT Round of 16 FROM table WHERE Athlete = Jiske Griffioen Esther Vergeer
"The semifinal score of vergeer ( ned ) l 0-6, 1-6 follows a round of 16 result of what?","SELECT Round of 16 FROM table WHERE Semifinals = Vergeer ( NED ) L 0-6, 1-6"
"How many round of 32 results are followed by Polidori ( Ita ) w 6-1, 3-6, 6-3 in the round of 16?","SELECT COUNT Round of 32 FROM table WHERE Round of 16 = Polidori ( ITA ) W 6-1, 3-6, 6-3"
Name the maximum points for libertad,SELECT MAX Points FROM table WHERE Team = Libertad
Name the least wins for 5 losses,SELECT MIN Wins FROM table WHERE Losses = 5
Name the most draws,SELECT MAX Draws FROM table
Name the least played,SELECT MIN Played FROM table
When  cristina peña garzon is the contestant what is the geographical region?,SELECT Geographical Regions FROM table WHERE Contestant = Cristina Peña Garzon
When  1.79 is the height what is the geographical region?,SELECT Geographical Regions FROM table WHERE Height = 1.79
When 1.67 is the height how many contestants are there?,SELECT COUNT Contestant FROM table WHERE Height = 1.67
"When baoruco is the province, community what is the lowest age?","SELECT MIN Age FROM table WHERE Province, Community = Baoruco"
When el cibao is the geographical region and the height is 1.80 who is the contestant?,SELECT Contestant FROM table WHERE Height = 1.80 AND Geographical Regions = El Cibao
